INFO, 2024-12-05 14:09:45.343, GETHistoricalDataHandler, GET IP: 127.0.0.1:37218
INFO, 2024-12-05 14:09:46.130, GETHistoricalDataHandler, GET IP: 127.0.0.1:37218
INFO, 2024-12-05 14:09:48.969, GETHistoricalDataHandler, GET IP: 127.0.0.1:37218
INFO, 2024-12-05 14:09:51.177, GETHistoricalDataHandler, GET IP: 127.0.0.1:37218
INFO, 2024-12-05 14:09:54.867, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:09:54.867, GETHistoricalDataHandler, GET IP: 127.0.0.1:45916
INFO, 2024-12-05 14:09:54.990, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:09:55.890, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:09:58.098, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:00.609, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:07.693, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:08.931, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:09.471, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:11.165, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:11.920, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:14.011, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:20.229, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:21.546, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:23.775, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:30.719, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:34.456, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:36.340, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:42.231, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:47.807, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:48.327, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:52.762, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:10:57.089, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:00.591, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:14.079, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:16.358, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
INFO, 2024-12-05 14:11:17.587, GETHistoricalDataHandler, GET IP: 127.0.0.1:45930
